id,price
188533,16995.610544785013
188534,81182.48841235242
188535,56504.19912612995
188536,28063.076473037196
188537,32240.22425212192
188538,16726.97756402086
188539,13750.344952291664
188540,46029.88986798607
188541,71649.00496117331
188542,34839.87362894076
188543,23577.864348920673
188544,11459.33050611181
188545,48035.87498970667
188546,110596.87905458112
188547,16851.524366903832
188548,107517.22085520055
188549,24131.797218489934
188550,9927.947793013034
188551,83275.61806004425
188552,58462.412887092854
188553,67270.58551635216
188554,23068.060085062356
188555,40967.025464421575
188556,22495.01437630365
188557,23282.09963345195
188558,80384.08812454107
188559,25633.67865661104
188560,11164.313091138221
188561,78779.7401790471
188562,23871.634774868293
188563,96826.97118656973
188564,69876.89005971997
188565,45235.73546358159
188566,35146.60645082225
188567,13847.724902111726
188568,47841.25529308817
188569,22582.665487819453
188570,15096.635582735707
188571,31469.783895322948
188572,96672.9880748477
188573,22487.230384345916
188574,33434.14438187205
188575,46256.66370563852
188576,32887.52591051889
188577,12056.771677019975
188578,31659.524149047596
188579,42585.882892645495
188580,46788.46852909216
188581,103941.24150668061
188582,26073.124007919083
188583,107304.72584565938
188584,33094.312662491495
188585,37659.35596317453
188586,31307.23085083627
188587,57562.91653099806
188588,25699.12053610884
188589,20404.37865931494
188590,22554.098742278264
188591,25078.50186104545
188592,35683.73065046595
188593,32562.271647892125
188594,68359.90333040757
188595,28175.92398636339
188596,55946.70591958192
188597,28188.244516209124
188598,28833.275199087813
188599,14665.614003444058
188600,49072.846943084
188601,54902.85460838685
188602,38814.8660351586
188603,143227.49588509178
188604,11653.366210950824
188605,36932.25656481263
188606,39960.83747257974
188607,62633.89082625299
188608,16853.35050731767
188609,54195.577163305155
188610,40014.82410048337
188611,21052.321813038398
188612,78721.30344153367
188613,22796.558479148818
188614,19210.330056280778
188615,31168.118759057437
188616,60612.76223358696
188617,56705.54831814915
188618,23049.30341574086
188619,83822.6882164247
188620,18363.376240050242
188621,24420.578496510738
188622,121885.38494838173
188623,56027.43603035099
188624,44634.74358572277
188625,24778.86603372542
188626,15559.6886480055
188627,113594.60801819325
188628,83526.17533199888
188629,20161.57258255715
188630,28030.13079564721
188631,61371.53123936414
188632,46896.951704434454
188633,59673.71674503549
188634,10530.337063773
188635,30256.961003439956
188636,53565.23046761503
188637,13668.479572021042
188638,28212.377981430804
188639,20682.063130833478
188640,11974.168749305652
188641,27884.857649524853
188642,12673.701788777948
188643,96012.26714361274
188644,98711.61717585454
188645,57879.73411292674
188646,11428.98825136424
188647,29289.444800420955
188648,25026.83029669712
188649,40421.543851114344
188650,97290.8370016451
188651,44563.52575929371
188652,62364.37116028749
188653,71988.53978696371
188654,12240.63158257624
188655,13809.254926377984
188656,28019.709131022682
188657,40333.01625674039
188658,10284.053955792246
188659,66208.37724068342
188660,11328.212697232386
188661,90901.93904612474
188662,13978.133817252086
188663,18501.232172914293
188664,84336.05606021485
188665,120337.20997317594
188666,24773.807899795804
188667,10458.563540588246
188668,17198.19336650321
188669,29577.179830262983
188670,64134.271085152504
188671,20859.12285523603
188672,21751.93732554386
188673,61880.05758482056
188674,15913.069684669903
188675,27614.0713580859
188676,46148.594616786904
188677,10299.071583479516
188678,33630.54059853794
188679,40626.74182844085
188680,60495.59350209837
188681,14542.039100447553
188682,12827.795550300765
188683,11940.880319187301
188684,68914.02343725576
188685,45903.57039545892
188686,99938.22631437592
188687,20017.52822277485
188688,41433.51290637955
188689,12079.911404309803
188690,28890.213331776824
188691,34339.07386942522
188692,30776.38494222749
188693,12358.175275157842
188694,16172.838772997906
188695,26919.405132971944
188696,74537.20234250772
188697,29672.663165946542
188698,22889.19475762453
188699,62864.29444260312
188700,108008.94049337224
188701,28518.405532133467
188702,13144.738910849162
188703,98437.6367639238
188704,49064.85164635518
188705,26056.81897076338
188706,111418.66210269611
188707,13380.838572159782
188708,28188.123271649383
188709,14152.772768447943
188710,23230.99162249268
188711,31761.214142682722
188712,56121.725242378234
188713,39371.72195179751
188714,22775.24759627863
188715,39350.04855903583
188716,64709.559398355035
188717,12505.61118628482
188718,17078.55245696425
188719,37218.29339093521
188720,16288.427085075173
188721,77332.61468113388
188722,64407.98640908716
188723,22796.725207963485
188724,26423.90226392246
188725,12006.381979119771
188726,43018.23871084282
188727,13307.971715200396
188728,70145.39629152082
